team,rating
Brazil,2203
Argentina,2191
France,2139
Netherlands,2134
Spain,2064
Portugal,2062
Italy,2041
England,2038
Germany,2024
Croatia,2018
Belgium,2017
Colombia,1980
Uruguay,1976
Japan,1953
Morocco,1951
Switzerland,1946
Denmark,1940
Ecuador,1920
Peru,1915
United States,1912
Mexico,1908
Serbia,1895
South Korea,1884
Hungary,1884
Yugoslavia,1882
Australia,1872
Iran,1871
Ukraine,1868
Poland,1864
Tunisia,1863
Senegal,1853
Costa Rica,1848
Czech Republic,1832
Algeria,1830
Canada,1822
Sweden,1814
Russia,1813
Scotland,1798
Czechoslovakia,1797
Austria,1796
Norway,1790
Basque Country,1788
Paraguay,1786
Jersey,1785
Cameroon,1781
Wales,1778
Panama,1776
Chile,1772
Turkey,1764
Ivory Coast,1758
Guernsey,1756
Egypt,1754
Venezuela,1751
Saudi Arabia,1750
Mali,1742
Greece,1742
German DR,1737
Finland,1737
Republic of Ireland,1729
Nigeria,1727
Occitania,1724
Isle of Man,1721
Ghana,1719
Northern Cyprus,1718
New Zealand,1717
Slovenia,1715
Georgia,1710
Iraqi Kurdistan,1710
Padania,1706
Jordan,1706
Burkina Faso,1705
Haiti,1696
Iraq,1695
Uzbekistan,1694
Bolivia,1688
Oman,1684
Qatar,1680
Jamaica,1679
Romania,1665
Israel,1665
Bosnia and Herzegovina,1661
Catalonia,1655
South Africa,1650
Abkhazia,1637
Slovakia,1631
Bahrain,1629
County of Nice,1628
Isle of Wight,1622
Kárpátalja,1618
Réunion,1616
United Arab Emirates,1615
Menorca,1609
El Salvador,1604
Guatemala,1602
Cape Verde,1602
Iceland,1601
China,1599
Andalusia,1594
Albania,1593
North Macedonia,1592
Honduras,1592
Rhodes,1591
Panjab,1590
Northern Ireland,1590
Ynys Môn,1586
Kernow,1585
Gabon,1582
Montenegro,1582
Chameria,1578
Bulgaria,1574
Palestine,1569
Kosovo,1568
Kurdistan,1566
Artsakh,1566
Zambia,1565
DR Congo,1564
French Guiana,1557
Arameans Suryoye,1556
Corsica,1556
Ellan Vannin,1554
Yorkshire,1552
Quebec,1546
Equatorial Guinea,1546
Fiji,1545
Cascadia,1544
Papua New Guinea,1543
Zanzibar,1540
Vietnam,1538
Galicia,1537
Syria,1537
Åland Islands,1536
Solomon Islands,1536
Martinique,1534
Maule Sur,1528
Curaçao,1526
Western Armenia,1526
Greenland,1523
Thailand,1522
Asturias,1520
Mauritania,1517
Canary Islands,1516
Surrey,1516
Guinea,1516
Angola,1516
Biafra,1515
Felvidék,1514
Parishes of Jersey,1513
Elba Island,1513
Uganda,1513
Gambia,1513
Donetsk PR,1512
